"","Vēsture","Rīgas 22. vidusskola","72.78"
"","Matem.","Rīgas 22. vidusskola","54.93"
"","Latv. val. 9.kl.","Rīgas 22. vidusskola","67.47"
"","Angļu v.","Rīgas 25. vidusskola","76.93"
"","Bio.","Rīgas 25. vidusskola","53.67"
"","Fiz.","Rīgas 25. vidusskola","45.11"
"","Krievu v.","Rīgas 25. vidusskola","74.08"
"","Latv. val.","Rīgas 25. vidusskola","58.96"
"","Vēsture","Rīgas 25. vidusskola","50.56"
"","Matem.","Rīgas 25. vidusskola","39.52"
"","Vācu val.","Rīgas 25. vidusskola","89.25"
"","Angļu v.","Rīgas 28. vidusskola","58.87"
"","Bio.","Rīgas 28. vidusskola","57.33"
"","Krievu v.","Rīgas 28. vidusskola","70.52"
"","Latv. val.","Rīgas 28. vidusskola","55.48"
"","Matem.","Rīgas 28. vidusskola","20"
"","Angļu v.","Rīgas 29. vidusskola","32.83"
"","Latv. val.","Rīgas 29. vidusskola","21.31"
"","Matem.","Rīgas 29. vidusskola","14.6"
"","Latv. val. 9.kl.","Rīgas 29. vidusskola","57.9"
"","Angļu v.","Rīgas 31. vidusskola","78.39"
"","Fiz.","Rīgas 31. vidusskola","46.44"
"","Krievu v.","Rīgas 31. vidusskola","76.09"
"","Latv. val.","Rīgas 31. vidusskola","63.84"
"","Vēsture","Rīgas 31. vidusskola","45.16"
"","Matem.","Rīgas 31. vidusskola","39.78"
"","Angļu v.","Rīgas 33. vidusskola","69.39"
"","Latv. val.","Rīgas 33. vidusskola","46"
"","Matem.","Rīgas 33. vidusskola","38.62"
"","Latv. val. 9.kl.","Rīgas 33. vidusskola","69.79"
"","Angļu v.","Rīgas 34. vidusskola","75.9"
"","Bio.","Rīgas 34. vidusskola","65.24"
"","Fiz.","Rīgas 34. vidusskola","56"
"","Ķīm.","Rīgas 34. vidusskola","60.95"
"","Latv. val.","Rīgas 34. vidusskola","59.76"
"","Vēsture","Rīgas 34. vidusskola","72.98"
"","Matem.","Rīgas 34. vidusskola","58.72"
"","Latv. val. 9.kl.","Rīgas 34. vidusskola","71.9"
"","Latv. val. 9.kl.","Rīgas 37. vidusskola","53.84"
"","Latv. val. 9.kl.","Rīgas 4. speciālā internātpamatskola","30.73"
"","Angļu v.","Rīgas 40. vidusskola","79.78"
"","Bio.","Rīgas 40. vidusskola","64.5"
"","Fiz.","Rīgas 40. vidusskola","51.33"
"","Ķīm.","Rīgas 40. vidusskola","60.67"
"","Latv. val.","Rīgas 40. vidusskola","51.81"
"","Vēsture","Rīgas 40. vidusskola","68.15"
"","Matem.","Rīgas 40. vidusskola","62.11"
"","Latv. val. 9.kl.","Rīgas 40. vidusskola","78.08"
"","Angļu v.","Rīgas 41. vidusskola","65.49"
"","Krievu v.","Rīgas 41. vidusskola","59.51"
"","Latv. val.","Rīgas 41. vidusskola","57.43"
"","Matem.","Rīgas 41. vidusskola","32.92"
"","Angļu v.","Rīgas 45. vidusskola","72.18"
"","Bio.","Rīgas 45. vidusskola","50"
"","Fiz.","Rīgas 45. vidusskola","25.33"
"","Krievu v.","Rīgas 45. vidusskola","57.92"
"","Ķīm.","Rīgas 45. vidusskola","26"
"","Latv. val.","Rīgas 45. vidusskola","62.64"
"","Vēsture","Rīgas 45. vidusskola","57.56"
"","Matem.","Rīgas 45. vidusskola","27.9"
"","Angļu v.","Rīgas 46. vidusskola","64.21"
